Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
HAI;202305281820;19.00;0.00;10.00;75.00;41.80;5.70;49.00;13.70;22.30;933.60;-;1017.40;1518.70;-;-;-;-;-;-;-
SAM;202305281820;12.90;0.00;0.00;39.00;47.80;2.10;318.00;19.40;28.80;828.40;-;1018.40;1492.90;-;-;-;-;-;-;-
SAG;202305281820;19.40;0.00;-;-;44.80;7.10;37.00;13.00;21.20;924.70;-;1016.40;1510.30;-;-;-;-;-;-;-
SHA;202305281820;21.30;0.00;0.00;33.00;30.20;3.10;70.00;22.00;32.80;964.10;1014.00;1015.90;-;-;-;-;-;-;-;-
SRS;202305281820;20.10;0.00;-;-;51.30;9.70;301.00;10.80;23.80;-;-;-;-;-;-;-;-;-;-;-
SCM;202305281820;-;-;-;-;-;-;72.00;11.50;24.10;966.80;-;1015.00;-;-;-;-;-;-;-;-
SPF;202305281820;19.40;0.00;5.00;65.00;46.10;7.50;25.00;15.80;22.00;929.70;-;1016.30;1510.20;-;-;-;-;-;-;-
SCU;202305281820;13.30;0.00;0.00;43.00;59.20;5.50;46.00;10.80;20.90;870.60;-;1018.50;1506.50;-;-;-;-;-;-;-
SIA;202305281820;11.30;0.00;0.00;40.00;61.70;4.20;224.00;7.90;22.30;819.40;-;1019.20;1497.20;-;-;-;-;-;-;-
SIM;202305281820;11.90;0.00;0.00;30.00;91.30;10.50;197.00;3.60;6.10;852.70;-;1018.30;1499.60;-;-;-;-;-;-;-
SIO;202305281820;22.20;0.00;0.00;44.00;42.80;9.00;234.00;5.80;9.00;955.60;1009.90;1012.20;-;-;-;-;-;-;-;-
PRE;202305281820;-;-;-;-;-;-;13.00;12.60;20.20;-;-;-;-;-;-;-;-;-;-;-
STC;202305281820;-;-;1.00;87.00;-;-;-;-;-;-;-;-;-;-;101.00;27.00;31.30;20.70;38.60;6.10
STG;202305281820;18.40;0.00;0.00;66.00;44.10;6.00;49.00;7.90;13.70;926.90;-;1017.10;1513.80;-;-;-;-;-;-;-
SMM;202305281820;14.50;0.00;0.00;34.00;52.20;4.80;35.00;8.30;14.00;861.40;-;1017.90;1499.60;-;-;-;-;-;-;-
SBO;202305281820;15.80;0.00;0.00;0.00;95.40;15.10;210.00;3.60;5.40;973.30;1014.40;1015.00;-;-;-;-;-;-;-;-
STK;202305281820;-;-;-;-;-;-;45.00;19.80;26.60;968.80;-;1015.80;-;-;-;-;-;-;-;-
SAE;202305281820;3.40;0.00;0.00;77.00;94.60;2.60;61.00;20.50;25.90;754.50;-;1022.40;-;3099.10;-;-;-;-;-;-
THU;202305281820;22.20;0.00;0.00;97.00;36.70;6.70;340.00;7.20;13.00;948.00;1011.90;1014.80;-;-;-;-;-;-;-;-
TIT;202305281820;0.40;-;10.00;92.00;88.00;-1.40;36.00;4.70;7.90;700.30;-;1024.00;-;3101.30;-;-;-;-;-;-
UEB;202305281820;-;-;10.00;84.00;-;-;-;-;-;-;-;-;-;-;57.00;41.00;49.00;17.40;42.20;4.40
ULR;202305281820;15.40;0.00;0.00;34.00;48.40;4.60;55.00;13.30;22.30;865.10;-;1017.30;1496.50;-;-;-;-;-;-;-
VAD;202305281820;21.70;0.00;0.00;75.00;42.30;8.30;322.00;7.90;20.90;961.30;1013.20;1015.30;-;-;-;-;-;-;-;-
VAB;202305281820;12.10;0.00;0.00;78.00;68.30;6.40;332.00;25.20;38.50;843.60;-;1019.30;1505.80;-;-;-;-;-;-;-
VLS;202305281820;14.50;0.00;0.00;24.00;62.10;7.30;57.00;7.90;16.20;-;-;-;-;-;-;-;-;-;-;-
VEV;202305281820;24.00;0.00;0.00;45.00;34.10;7.20;26.00;14.00;28.40;-;-;-;-;-;-;-;-;-;-;-
VIO;202305281820;15.70;0.00;0.00;31.00;75.40;11.40;230.00;7.90;17.30;892.70;-;1017.40;1504.30;-;-;-;-;-;-;-
VIT;202305281820;18.60;0.00;-;-;45.00;6.40;45.00;17.60;28.10;-;-;-;-;-;-;-;-;-;-;-
VIS;202305281820;22.60;0.00;0.00;58.00;34.70;6.30;132.00;15.50;23.80;938.40;-;1013.00;1494.30;-;-;-;-;-;-;-
WFJ;202305281820;2.30;0.00;0.00;42.00;97.10;1.90;350.00;23.00;28.40;737.70;-;1022.40;-;3096.00;-;-;-;-;-;-
WYN;202305281820;21.70;0.00;9.00;74.00;42.00;8.20;72.00;9.70;15.50;964.90;1012.90;1014.80;-;-;-;-;-;-;-;-
WAE;202305281820;20.90;0.00;8.00;87.00;44.20;8.30;54.00;14.00;24.10;958.10;1013.20;1015.30;-;-;-;-;-;-;-;-
PSI;202305281820;22.30;0.00;10.00;75.00;41.40;8.60;-;-;-;975.80;1014.00;1015.50;-;-;43.00;11.20;17.60;23.00;34.40;-
ZER;202305281820;13.40;0.00;0.00;35.00;46.20;2.10;226.00;10.40;15.10;834.90;-;1017.60;1488.40;-;-;-;-;-;-;-
REH;202305281820;21.60;0.00;10.00;75.00;38.50;6.90;56.00;11.90;22.00;963.10;1013.50;1015.50;-;-;-;-;-;-;-;-
SMA;202305281820;20.90;0.00;10.00;79.00;38.60;6.30;37.00;6.10;20.90;950.50;1013.30;1015.80;-;-;-;-;-;19.60;40.00;5.60
KLO;202305281820;21.50;0.00;10.00;73.00;37.90;6.60;63.00;17.30;24.50;965.10;1013.60;1015.50;-;-;-;-;-;-;-;-
PFA;202305281820;20.40;0.00;10.00;77.00;42.70;7.30;51.00;15.80;23.80;952.70;1013.50;1015.80;-;-;-;-;-;-;-;-
