Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
SMM;202305291430;18.90;0.00;10.00;763.00;42.90;6.00;28.00;7.90;11.90;861.30;-;1017.80;1500.40;-;-;-;-;-;-;-
SBO;202305291430;23.90;0.00;10.00;645.00;51.50;13.30;233.00;5.00;10.40;973.60;1013.50;1015.30;-;-;-;-;-;-;-;-
STK;202305291430;-;-;-;-;-;-;47.00;28.80;38.50;969.70;-;1016.80;-;-;-;-;-;-;-;-
SAE;202305291430;4.80;0.00;4.00;588.00;88.30;3.00;28.00;16.90;33.50;755.60;-;1023.80;-;3114.00;-;-;-;-;-;-
THU;202305291430;23.50;0.00;2.00;304.00;39.10;8.80;37.00;13.30;25.90;948.60;1012.20;1015.40;-;-;-;-;-;-;-;-
TIT;202305291430;2.10;-;10.00;851.00;84.00;-0.30;134.00;5.40;11.50;701.30;-;1025.30;-;3112.80;-;-;-;-;-;-
UEB;202305291430;-;-;10.00;714.00;-;-;-;-;-;-;-;-;-;-;65.00;33.80;57.60;18.40;36.90;3.40
ULR;202305291430;20.80;0.00;7.00;636.00;36.30;5.30;47.00;14.80;22.70;865.30;-;1017.60;1501.40;-;-;-;-;-;-;-
VAD;202305291430;25.60;0.00;10.00;717.00;33.30;8.30;340.00;18.40;33.80;961.80;1013.00;1015.80;-;-;-;-;-;-;-;-
VAB;202305291430;14.50;0.00;0.00;289.00;54.00;5.30;342.00;31.00;43.90;843.70;-;1019.40;1506.30;-;-;-;-;-;-;-
VLS;202305291430;19.90;0.00;8.00;671.00;38.70;5.40;13.00;5.40;15.80;-;-;-;-;-;-;-;-;-;-;-
VEV;202305291430;26.30;0.00;10.00;704.00;32.70;8.60;29.00;11.50;32.00;-;-;-;-;-;-;-;-;-;-;-
VIO;202305291430;17.60;0.00;0.00;326.00;63.50;10.60;218.00;12.60;20.20;893.30;-;1018.00;1512.80;-;-;-;-;-;-;-
VIT;202305291430;21.80;0.00;-;-;39.20;7.30;45.00;24.80;40.30;-;-;-;-;-;-;-;-;-;-;-
VIS;202305291430;27.50;0.00;10.00;788.00;24.80;5.60;110.00;20.20;31.70;938.00;-;1012.60;1505.70;-;-;-;-;-;-;-
WFJ;202305291430;5.10;0.00;5.00;531.00;80.30;2.00;345.00;27.00;37.40;738.40;-;1023.30;-;3108.10;-;-;-;-;-;-
WYN;202305291430;25.40;0.00;10.00;737.00;27.80;5.50;59.00;25.90;38.20;965.90;1013.30;1015.90;-;-;-;-;-;-;-;-
WAE;202305291430;24.70;0.00;10.00;719.00;37.00;9.00;49.00;20.90;34.90;959.10;1013.50;1016.40;-;-;-;-;-;-;-;-
PSI;202305291430;26.70;0.00;10.00;707.00;26.10;5.70;-;-;-;976.70;1014.40;1016.50;-;-;54.00;24.80;39.20;24.60;26.80;-
ZER;202305291430;17.90;0.00;10.00;890.00;29.70;0.00;52.00;11.20;17.30;835.20;-;1018.00;1489.00;-;-;-;-;-;-;-
REH;202305291430;24.70;0.00;10.00;722.00;26.00;3.90;43.00;14.80;28.10;964.20;1014.10;1016.70;-;-;-;-;-;-;-;-
SMA;202305291430;24.30;0.00;10.00;710.00;31.00;6.10;49.00;16.20;35.30;951.50;1013.60;1016.90;-;-;-;-;-;20.90;32.40;3.80
KLO;202305291430;25.20;0.00;10.00;701.00;34.40;8.40;46.00;23.80;36.00;966.10;1014.00;1016.60;-;-;-;-;-;-;-;-
PFA;202305291430;23.70;0.00;10.00;691.00;35.20;7.40;65.00;17.60;29.20;953.70;1013.90;1016.90;-;-;-;-;-;-;-;-
